Cycle,Coherence,Epsilon,Epsilon_GW
1,0.98824869,1085.48088546,1.08548089e-1
2,0.97576633,1096.92748898,1.09692749e-1
3,0.97209186,1100.36038689,1.10036039e-1
4,0.96914501,1103.13473470,1.10313473e-1
5,0.96820724,1104.24666893,1.10424667e-1
6,0.96528274,1107.72677351,1.10772677e-1
7,0.96188624,1111.79243704,1.11179244e-1
8,0.95693633,1117.76404347,1.11776404e-1
9,0.94842840,1126.11733748,1.12611734e-1
10,0.93639024,1141.11688688,1.14111689e-1
11,0.92443360,1156.36433151,1.15636433e-1
12,0.91536345,1165.99468405,1.16599468e-1
13,0.90455303,1180.34807477,1.18034807e-1
14,0.89324000,1195.70721559,1.19570722e-1
15,0.88414514,1208.31466245,1.20831466e-1
16,0.88095099,1212.79886858,1.21279887e-1
17,0.87380435,1221.22529239,1.22122529e-1
18,0.86876875,1227.25437011,1.22725437e-1
19,0.86077740,1238.89957493,1.23889957e-1
20,0.85615315,1244.61945013,1.24461945e-1
21,0.84783237,1255.08407808,1.25508408e-1
22,0.84273954,1261.60073822,1.26160074e-1
23,0.83147561,1279.02725832,1.27902726e-1
24,0.81944348,1295.24272673,1.29524273e-1
25,0.81034953,1310.02897744,1.31002898e-1
26,0.81002864,1310.55633553,1.31055634e-1
27,0.80316014,1321.93801318,1.32193801e-1
28,0.79096351,1342.60073436,1.34260073e-1
29,0.78777574,1347.33416242,1.34733416e-1
30,0.78020640,1358.74116930,1.35874117e-1
31,0.77346416,1369.10470493,1.36910470e-1
32,0.76658577,1381.53086342,1.38153086e-1
33,0.75810450,1395.10700780,1.39510701e-1
34,0.75364629,1402.37505945,1.40237506e-1
35,0.74310634,1419.93028708,1.41993029e-1
36,0.74224288,1421.39214456,1.42139214e-1
37,0.73376015,1435.94947367,1.43594947e-1
38,0.73281053,1437.60158146,1.43760158e-1
39,0.73233172,1438.55123352,1.43855123e-1
40,0.72060669,1462.17638491,1.46217638e-1
41,0.70847766,1484.47844348,1.48447844e-1
42,0.70339840,1495.28027576,1.49528028e-1
43,0.70108359,1499.69651770,1.49969652e-1
44,0.70061737,1500.70162512,1.50070163e-1
45,0.69571071,1510.17928091,1.51017928e-1
46,0.68928652,1524.34663201,1.52434663e-1
47,0.67751215,1548.14648092,1.54814648e-1
48,0.66535595,1576.57186846,1.57657187e-1
49,0.66357805,1580.38532040,1.58038532e-1
50,0.65514630,1598.76841391,1.59876841e-1
51,0.64888591,1614.24598872,1.61424599e-1
52,0.64769284,1617.22792506,1.61722793e-1
53,0.63950248,1636.01895851,1.63601896e-1
54,0.63509845,1646.33390286,1.64633390e-1
55,0.62383242,1676.12138880,1.67612139e-1
56,0.61606081,1695.41057976,1.69541058e-1
57,0.61560740,1696.66053944,1.69666054e-1
58,0.61525935,1697.62123494,1.69762123e-1
59,0.60455650,1725.11114992,1.72511115e-1
60,0.60006646,1736.94930928,1.73694931e-1
61,0.59848622,1741.15986382,1.74115986e-1
62,0.58993005,1766.42056939,1.76642057e-1
63,0.58818615,1771.23710297,1.77123710e-1
64,0.58600297,1777.83305045,1.77783305e-1
65,0.58055560,1793.19129467,1.79319129e-1
66,0.57933058,1796.68656673,1.79668657e-1
67,0.57880448,1798.31864466,1.79831864e-1
68,0.56921244,1828.58388465,1.82858388e-1
69,0.55894247,1859.63105131,1.85963105e-1
70,0.55078050,1887.12290109,1.88712290e-1
71,0.54230701,1914.47473489,1.91447473e-1
72,0.53496428,1938.90331548,1.93890332e-1
73,0.53347295,1943.94996537,1.94394997e-1
74,0.52421851,1978.15269523,1.97815270e-1
