cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_error
1,0.99266725,1083.26684203,0.108326684,0.6815886036902361,0.3110786463097639
2,0.98983976,1086.48376362,0.108648376,0.6813563980700283,0.3084833619299716
3,0.98641824,1089.57741303,0.108957741,0.6811330905507567,0.30528514944924334
4,0.97921418,1097.90017145,0.109790017,0.6805323325817831,0.2986818474182169
5,0.97254709,1104.10092546,0.110410093,0.6800847463132451,0.29246234368675483
6,0.96677734,1109.54504275,0.110954504,0.6796917760165062,0.28708556398349383
7,0.96237922,1113.74436444,0.111374436,0.6793886582468629,0.2829905617531371
8,0.9568058,1119.12829147,0.111912829,0.6790000326368881,0.2778057673631119
9,0.94609596,1132.24454032,0.113224454,0.678053268280405,0.26804269171959494
10,0.94340552,1135.5817148,0.113558171,0.6778123824993282,0.2655931375006718
11,0.93264296,1149.1053436,0.114910534,0.6768362124171213,0.2558067475828787
12,0.93118585,1150.95800662,0.115095801,0.6767024824664343,0.2544833675335657
13,0.92519991,1158.62431931,0.115862432,0.6761491084275948,0.24905080157240522
14,0.91464938,1169.82589135,0.116982589,0.6753405503356179,0.23930882966438205
15,0.91062093,1175.14597661,0.117514598,0.6749565329877296,0.23566439701227038
16,0.9087088,1177.68618433,0.117768618,0.67477317430379,0.23393562569620996
17,0.90537333,1182.14064229,0.118214064,0.6744516401462568,0.23092168985374317
18,0.89992423,1189.48245191,0.118948245,0.6739216895681766,0.22600254043182344
19,0.88986611,1203.24932502,0.120324933,0.6729279614901389,0.21693814850986115
20,0.88665931,1207.69848019,0.120769848,0.6726068101015374,0.21405249989846253
21,0.87798861,1217.79603025,0.121779603,0.6718779431370613,0.20611066686293866
22,0.87150769,1227.04361674,0.122704362,0.671210428714885,0.20029726128511494
23,0.86686672,1233.74360055,0.12337436,0.6707268067637566,0.19613991323624336
24,0.86114984,1242.08784182,0.124208784,0.6701244981077774,0.19102534189222264
25,0.85593158,1249.79362415,0.124979362,0.6695682750494705,0.18636330495052955
26,0.84785254,1259.95683339,0.125995683,0.6688346686376103,0.17901787136238967
27,0.83853182,1271.94855955,0.127194856,0.6679690752022589,0.17056274479774114
28,0.82660279,1287.72737642,0.128772738,0.6668301198827286,0.15977267011727148
29,0.82296549,1293.51074453,0.129351074,0.6664126615949522,0.1565528284050478
30,0.82277841,1293.7645843,0.129376458,0.666394338791745,0.15638407120825493
31,0.81922541,1299.46212859,0.129946213,0.6659830754865923,0.15324233451340774
32,0.8103159,1311.81433605,0.131181434,0.6650914615899092,0.1452244384100908
33,0.80335599,1321.67071515,0.132167072,0.6643800029615632,0.13897598703843683
34,0.79383828,1335.45282545,0.133545283,0.6633851750242173,0.13045310497578266
35,0.78515533,1350.4257041,0.13504257,0.6623043943847307,0.12285093561526939
36,0.7789217,1359.87042047,0.135987042,0.6616226506241121,0.11729904937588798
37,0.77323403,1369.99637757,0.136999638,0.6608917331669033,0.11234229683309671
38,0.77277075,1370.82729251,0.137082729,0.6608317556033897,0.11193899439661026
39,0.76264579,1389.22214913,0.138922215,0.6595039678502292,0.10314182214977075
40,0.76236178,1389.67655819,0.138967656,0.6594711674431776,0.10289061255682241
41,0.76161263,1391.05669054,0.139105669,0.659371545963656,0.10224108403634402
42,0.75753578,1398.61215194,0.139861215,0.6588261734541748,0.09870960654582517
43,0.75113711,1409.0895075,0.140908951,0.658069891158234,0.09306721884176605
44,0.74200815,1424.37325222,0.142437325,0.6569666714114932,0.08504147858850675
45,0.73005685,1447.86967433,0.144786967,0.6552706396258023,0.07478621037419764
46,0.72515331,1457.72048411,0.145772048,0.6545595830052046,0.07059372699479549
47,0.71458278,1476.85127594,0.147685128,0.653178673568133,0.061404106431867
48,0.70610987,1494.66023286,0.149466023,0.6518931775524027,0.0542166924475973
49,0.70018765,1507.34927049,0.150734927,0.6509772503933844,0.04921039960661566
50,0.69673788,1514.00670794,0.151400671,0.6504966995472348,0.04624118045276526
51,0.68691382,1533.35453904,0.153335454,0.6491001236610783,0.03781369633892173
52,0.68686885,1533.4552539,0.153345525,0.649092853805138,0.03777599619486194
53,0.68312586,1540.98317485,0.154098317,0.6485494692357088,0.0345763907642912
54,0.67496937,1559.65156074,0.155965156,0.6472019374409208,0.027767432559079208
55,0.66885165,1572.46858653,0.157246859,0.6462767717694797,0.02257487823052029
56,0.65679412,1601.36275247,0.160136275,0.6441911170418857,0.01260300295811434
57,0.65049829,1615.34319116,0.161534319,0.6431819732545832,0.007316316745416884
58,0.64063781,1640.18779878,0.16401878,0.6413886259939121,-0.000750815993912135
59,0.63790386,1646.54966427,0.164654966,0.6409294102870774,-0.0030255502870774054
60,0.63703973,1648.77982957,0.164877983,0.6407684312572304,-0.003728701257230349
61,0.63046222,1665.9461723,0.166594617,0.6395293207757348,-0.009067100775734804
62,0.62485995,1680.83919163,0.168083919,0.6384543045860214,-0.013594354586021318
63,0.61647834,1701.5918079,0.170159181,0.6369563277168032,-0.020477987716803203
64,0.60683951,1726.20027876,0.172620028,0.6351800254108428,-0.028340515410842815
65,0.60605861,1728.22986177,0.172822986,0.6350335249232136,-0.02897491492321358
66,0.59556133,1758.57230679,0.175857231,0.6328433297109988,-0.03728199971099877
67,0.58545253,1788.77757902,0.178877758,0.6306630359812686,-0.045210505981268634
68,0.58365541,1794.25254131,0.179425254,0.6302678392136148,-0.04661242921361486
69,0.58334253,1795.20903828,0.179520904,0.63019879681829,-0.04685626681829003
70,0.57930978,1807.62644923,0.180762645,0.6293024763670916,-0.04999269636709158
71,0.57178311,1831.25237938,0.183125238,0.6275970963601558,-0.055813986360155776
72,0.56331252,1858.56746805,0.185856747,0.6256254234647507,-0.06231290346475071
73,0.55436612,1888.28956726,0.188828957,0.6234800063982022,-0.06911388639820226
74,0.54263346,1925.88423102,0.192588423,0.6207663275065473,-0.07813286750654724
75,0.54232618,1926.9652366,0.192696524,0.6206882977616096,-0.07836211776160962
76,0.53148847,1965.86537405,0.196586537,0.6178803864432789,-0.08639191644327893
77,0.5300995,1970.62861624,0.197062862,0.6175365634510223,-0.08743706345102231
78,0.52147107,2002.87768045,0.200287768,0.6152087435939015,-0.0937376735939015
79,0.52063969,2006.03963752,0.200603964,0.614980505453192,-0.09434081545319206
80,0.51328631,2032.67352601,0.203267353,0.6130580033273743,-0.09977169332737423
81,0.50296321,2071.42132601,0.207142133,0.6102610881154353,-0.10729787811543534
82,0.49960248,2084.39240205,0.20843924,0.6093248027033219,-0.10972232270332188
83,0.49224434,2113.42947891,0.211342948,0.6072288323003578,-0.11498449230035784
84,0.48724267,2133.68325322,0.213368325,0.6057668631184477,-0.11852419311844775
85,0.47987312,2164.31769142,0.216431769,0.6035555910924029,-0.12368247109240288
86,0.47638364,2180.00075909,0.218000076,0.6024235471947857,-0.12603990719478575
87,0.47614263,2181.03434805,0.218103435,0.6023489401026381,-0.12620631010263805
88,0.46651281,2223.23163639,0.222323164,0.5993030320082247,-0.13279022200822466
89,0.45799426,2264.1234838,0.226412348,0.5963513539757863,-0.13835709397578633
90,0.45110896,2298.27555193,0.229827555,0.593886170433186,-0.14277721043318603
91,0.44245529,2342.67002595,0.234267003,0.5906816638621661,-0.14822637386216614
92,0.43930204,2359.27120567,0.235927121,0.5894833482908305,-0.15018130829083048
93,0.42724383,2422.06990387,0.24220699,0.5849503777922335,-0.15770654779223348
94,0.4192353,2467.74242542,0.246774243,0.5816536184848458,-0.16241831848484578
95,0.40964912,2522.41023276,0.252241023,0.5777075564644836,-0.1680584364644836
96,0.40293254,2563.90773357,0.256390773,0.5747121608220745,-0.17177962082207454
97,0.39153753,2634.76891925,0.263476892,0.5695972193759946,-0.1780596893759946
98,0.38609321,2670.130146,0.267013015,0.5670447556745744,-0.18095154567457433
99,0.37927071,2717.53983684,0.271753984,0.563622603049039,-0.18435189304903898
100,0.36829704,2797.41724474,0.279741724,0.5578568476449708,-0.18955980764497077
101,0.36275279,2839.58117288,0.283958117,0.5548133475750349,-0.19206055757503487
102,0.36098465,2853.29592599,0.285329593,0.5538233816517736,-0.19283873165177357
103,0.36057096,2856.42456943,0.285642457,0.5535975481740002,-0.1930265881740002
104,0.35185129,2924.10886456,0.292410886,0.5487119228053738,-0.19686063280537386
105,0.35064453,2934.03494866,0.293403495,0.5479954326920184,-0.19735090269201844
106,0.3477546,2958.08164407,0.295808164,0.5462596807734814,-0.1985050807734814
107,0.33949394,3027.05999875,0.302706,0.5412806468799698,-0.2017867068799698
108,0.33042236,3106.84037515,0.310684038,0.5355218954575054,-0.20509953545750537
109,0.32197778,3185.2017729,0.318520177,0.529865569539756,-0.20788778953975606
110,0.32070895,3197.64164311,0.319764164,0.5289676279217831,-0.2082586779217831
111,0.30846712,3322.85526344,0.332285526,0.5199293888619418,-0.21146226886194186
112,0.30748647,3333.07663646,0.333307664,0.5191915840398219,-0.2117051140398219
113,0.30587988,3350.35096455,0.335035096,0.5179446788991187,-0.21206479889911867
114,0.30267226,3384.612557,0.338461256,0.5154715896112454,-0.21279932961124537
115,0.29682091,3449.04161221,0.344904161,0.5108209357777969,-0.21400002577779687
116,0.29423372,3478.35494421,0.347835494,0.5087050245729435,-0.21447130457294356
117,0.29240229,3499.42235637,0.349942236,0.5071843249320223,-0.21478203493202225
118,0.28963604,3531.75361323,0.353175361,0.5048505721994068,-0.21521453219940678
119,0.27914051,3662.82928176,0.366282928,0.4953891955218505,-0.2162486855218505
120,0.27405603,3729.90308919,0.372990309,0.4905476367153215,-0.21649160671532147
121,0.26552847,3848.1119611,0.384811196,0.4820150182948896,-0.21648654829488956
122,0.26542523,3849.56444521,0.384956445,0.4819101742804589,-0.2164849442804589
123,0.26134816,3908.82789191,0.390882789,0.4776323872683664,-0.21628422726836638
124,0.25234304,4044.29313748,0.404429314,0.4678541597038655,-0.2155111197038655
125,0.24512044,4160.1940709,0.416019407,0.4594881341808601,-0.2143676941808601
126,0.23301782,4370.63187052,0.437063187,0.4442981960960108,-0.2112803760960108
127,0.22709896,4483.19160867,0.448319161,0.4361733465849782,-0.2090743865849782
128,0.21798957,4666.10720308,0.46661072,0.4229700315966133,-0.2049804615966133
129,0.21554761,4718.37115578,0.471837116,0.4191974859464684,-0.20364987594646838
130,0.20535872,4947.33001982,0.494733002,0.4026706501069699,-0.1973119301069699
131,0.19950381,5090.94030139,0.50909403,0.3923044930318854,-0.1928006830318854
132,0.19699006,5155.20475332,0.515520475,0.3876657206837797,-0.1906756606837797
133,0.1926849,5268.10996535,0.526810997,0.3795159339853378,-0.1868310339853378
134,0.19105568,5312.17049673,0.53121705,0.3763355322473596,-0.1852798522473596
135,0.19000211,5341.32007244,0.534132007,0.3742314413899467,-0.18422933138994668
136,0.18029916,5623.3940154,0.562339402,0.3538706234349557,-0.17357146343495566
137,0.17766892,5705.18718606,0.570518719,0.3479665833797354,-0.1702976633797354
138,0.17401374,5822.97464431,0.582297464,0.3394643836740737,-0.16545064367407372
139,0.16297027,6211.06523884,0.621106524,0.3114510129162151,-0.14848074291621507
140,0.15839208,6388.97346404,0.638897346,0.2986091426322009,-0.1402170626322009
141,0.14836138,6814.62112957,0.681462113,0.2678848065241606,-0.11952342652416059
142,0.14162986,7134.17284387,0.713417284,0.2448187472710723,-0.10318888727107231
143,0.13403925,7533.10503763,0.753310504,0.216022802178461,-0.08198355217846101
144,0.13394684,7538.24136636,0.753824137,0.2156520488464407,-0.0817052088464407
145,0.13156318,7673.79001469,0.767379001,0.2058678010576132,-0.07430462105761321
146,0.12127698,8317.23225353,0.831723225,0.1594224961418349,-0.038145516141834895
147,0.12120984,8321.8078795,0.832180788,0.1590922157677328,-0.037882375767732804
148,0.11923122,8458.95493938,0.845895494,0.1491925905489832,-0.029961370548983207
149,0.11233704,8972.84644517,0.897284645,0.1120985885713169,0.00023845142868310354
150,0.10495449,9598.11586857,0.959811587,0.0669650439089696,0.0379894460910304
151,0.1,10069.2804391,1.00692804,0.03295518129375,0.06704481870625001
152,0.1,10067.9440999,1.00679441,0.0330516416718049,0.0669483583281951
153,0.1,10068.02063993,1.00680206,0.0330461168168653,0.06695388318313471
154,0.1,10068.07408535,1.00680741,0.0330422589898866,0.0669577410101134
155,0.1,10069.18445147,1.00691845,0.03296210992615,0.06703789007385
156,0.1,10070.62887759,1.00706289,0.0328578475580273,0.0671421524419727
157,0.1,10071.49673229,1.00714967,0.0327952035882488,0.0672047964117512
158,0.1,10072.25075391,1.00722508,0.0327407763810496,0.0672592236189504
159,0.1,10072.85278238,1.00728528,0.0326973204277888,0.0673026795722112
160,0.1,10073.89314695,1.00738931,0.0326222242547984,0.0673777757452016
161,0.1,10074.20175328,1.00742018,0.0325999482613516,0.06740005173864841
162,0.1,10074.5734953,1.00745735,0.032573114972477,0.067426885027523
163,0.1,10075.55452115,1.00755545,0.0325023020199179,0.06749769798008211
164,0.1,10075.5271324,1.00755271,0.0325042790098762,0.0674957209901238
165,0.1,10074.28134116,1.00742813,0.0325942034048112,0.0674057965951888
166,0.1,10074.69171826,1.00746917,0.0325645813371423,0.06743541866285771
167,0.1,10074.5940639,1.00745941,0.0325716302783724,0.0674283697216276
168,0.1,10074.24666891,1.00742467,0.0325967061364103,0.0674032938635897
169,0.1,10073.49312085,1.00734931,0.0326510991608385,0.06734890083916151
170,0.1,10073.61680265,1.00736168,0.0326421714924842,0.06735782850751582
171,0.1,10072.99283766,1.00729928,0.0326872108798107,0.06731278912018931
172,0.1,10073.28044874,1.00732804,0.0326664503771556,0.06733354962284441
173,0.1,10073.46456226,1.00734646,0.0326531605928374,0.0673468394071626
174,0.1,10072.10193532,1.00721019,0.0327515184871354,0.06724848151286461
175,0.1,10070.73895349,1.0070739,0.0328499019983006,0.06715009800169941
176,0.1,10070.5108374,1.00705108,0.0328663680005564,0.06713363199944361
177,0.1,10071.94771464,1.00719477,0.0327626505298808,0.0672373494701192
178,0.1,10070.94633269,1.00709463,0.0328349328377515,0.06716506716224852
179,0.1,10069.87806834,1.00698781,0.0329120428881515,0.0670879571118485
180,0.1,10068.66996215,1.006867,0.032999247079885,0.06700075292011501
181,0.1,10070.02971707,1.00700297,0.032901096495329,0.06709890350467101
182,0.1,10071.3154579,1.00713155,0.0328082884369091,0.06719171156309091
183,0.1,10071.50370686,1.00715037,0.0327947001459648,0.0672052998540352
184,0.1,10072.14528896,1.00721453,0.0327483891106235,0.0672516108893765
185,0.1,10071.72480761,1.00717248,0.0327787405288756,0.06722125947112441
186,0.1,10073.21509377,1.00732151,0.0326711678658845,0.0673288321341155
187,0.1,10072.0151801,1.00720152,0.0327577807005911,0.0672422192994089
188,0.1,10072.40045821,1.00724005,0.0327299703421529,0.0672700296578471
189,0.1,10072.66569154,1.00726657,0.0327108251226723,0.0672891748773277
190,0.1,10073.6788767,1.00736789,0.0326376908289443,0.0673623091710557
191,0.1,10073.67943616,1.00736794,0.032637650445692,0.067362349554308
192,0.1,10074.49121255,1.00744912,0.03257905435162,0.06742094564838
193,0.1,10075.65151112,1.00756515,0.0324953010360555,0.06750469896394451
194,0.1,10076.33784222,1.00763378,0.0324457599035521,0.0675542400964479
195,0.1,10076.15379984,1.00761538,0.0324590445528035,0.06754095544719652
196,0.1,10076.70193745,1.00767019,0.0324194785795188,0.06758052142048121
197,0.1,10077.77977553,1.00777798,0.0323416774728247,0.0676583225271753
198,0.1,10077.66924958,1.00776692,0.0323496555183104,0.0676503444816896
199,0.1,10077.1816583,1.00771817,0.0323848511027885,0.06761514889721151
200,0.1,10077.77542358,1.00777754,0.0323419916076958,0.06765800839230421
