cycle,coherence,epsilon,epsilon_gw,phi_poly
1,0.99266725,1083.26684203,0.108326684,0.8292810358014537
2,0.98983976,1086.48376362,0.108648376,0.8284592577509061
3,0.98641824,1089.57741303,0.108957741,0.82766935298823
4,0.97921418,1097.90017145,0.109790017,0.8255461574713128
5,0.97254709,1104.10092546,0.110410093,0.8239660664491621
6,0.96677734,1109.54504275,0.110954504,0.8225800265379002
7,0.96237922,1113.74436444,0.111374436,0.8215116982687601
8,0.9568058,1119.12829147,0.111912829,0.8201430122550374
9,0.94609596,1132.24454032,0.113224454,0.8168133963985339
10,0.94340552,1135.5817148,0.113558171,0.8159673170701907
11,0.93264296,1149.1053436,0.114910534,0.8125431204457934
12,0.93118585,1150.95800662,0.115095801,0.8120745828768482
13,0.92519991,1158.62431931,0.115862432,0.8101372071250551
14,0.91464938,1169.82589135,0.116982589,0.8073105702333987
15,0.91062093,1175.14597661,0.117514598,0.8059698081788458
16,0.9087088,1177.68618433,0.117768618,0.8053300193403702
17,0.90537333,1182.14064229,0.118214064,0.8042087092640946
18,0.89992423,1189.48245191,0.118948245,0.802362271287982
19,0.88986611,1203.24932502,0.120324933,0.7989056519500572
20,0.88665931,1207.69848019,0.120769848,0.7977901366777835
21,0.87798861,1217.79603025,0.121779603,0.7952613067992388
22,0.87150769,1227.04361674,0.122704362,0.7929488496971671
23,0.86686672,1233.74360055,0.12337436,0.7912755428495603
24,0.86114984,1242.08784182,0.124208784,0.7891940477185679
25,0.85593158,1249.79362415,0.124979362,0.7872742432047255
26,0.84785254,1259.95683339,0.125995683,0.7847457609422219
27,0.83853182,1271.94855955,0.127194856,0.7817675756224745
28,0.82660279,1287.72737642,0.128772738,0.7778574459956671
29,0.82296549,1293.51074453,0.129351074,0.7764267217694449
30,0.82277841,1293.7645843,0.129376458,0.7763639554177717
31,0.81922541,1299.46212859,0.129946213,0.7749558021970582
32,0.8103159,1311.81433605,0.131181434,0.7719073148434299
33,0.80335599,1321.67071515,0.132167072,0.7694790826731945
34,0.79383828,1335.45282545,0.133545283,0.76609008988697
35,0.78515533,1350.4257041,0.13504257,0.7624167320995949
36,0.7789217,1359.87042047,0.135987042,0.7601041432056663
37,0.77323403,1369.99637757,0.136999638,0.7576286348333419
38,0.77277075,1370.82729251,0.137082729,0.7574256782983089
39,0.76264579,1389.22214913,0.138922215,0.752939546245526
40,0.76236178,1389.67655819,0.138967656,0.752828893057313
41,0.76161263,1391.05669054,0.139105669,0.7524928665612355
42,0.75753578,1398.61215194,0.139861215,0.7506546311638851
43,0.75113711,1409.0895075,0.140908951,0.748109206979183
44,0.74200815,1424.37325222,0.142437325,0.744403813714346
45,0.73005685,1447.86967433,0.144786967,0.7387252052817957
46,0.72515331,1457.72048411,0.145772048,0.7363509059148898
47,0.71458278,1476.85127594,0.147685128,0.7317507633624358
48,0.70610987,1494.66023286,0.149466023,0.7274813658073462
49,0.70018765,1507.34927049,0.150734927,0.7244469711380506
50,0.69673788,1514.00670794,0.151400671,0.7228574695484948
51,0.68691382,1533.35453904,0.153335454,0.7182479294014823
52,0.68686885,1533.4552539,0.153345525,0.7182239729147603
53,0.68312586,1540.98317485,0.154098317,0.7164344740875332
54,0.67496937,1559.65156074,0.155965156,0.7120063105527223
55,0.66885165,1572.46858653,0.157246859,0.7089740098062347
56,0.65679412,1601.36275247,0.160136275,0.7021617508711024
57,0.65049829,1615.34319116,0.161534319,0.6988773938875086
58,0.64063781,1640.18779878,0.16401878,0.6930596847247821
59,0.63790386,1646.54966427,0.164654966,0.6915738587380342
60,0.63703973,1648.77982957,0.164877983,0.6910533750583863
61,0.63046222,1665.9461723,0.166594617,0.6870535638201649
62,0.62485995,1680.83919163,0.168083919,0.6835928064737844
