cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_pred,eps_pred,dphi,deps,entropy_flux,closure_energy
1,0.99146569,1082.58365205,0.108258365,0.6815886036902361,,,,,,1073.344547562473
2,0.98850668,1085.24775626,0.108524776,0.6813563980700283,,,-0.002959009999999984,2.664104210000005,0.0011106960410115798,1072.7746565180219
3,0.98338259,1089.90412339,0.108990412,0.6811330905507567,,,-0.005124090000000026,4.656367130000035,0.001100448022211586,1071.7927397109377
4,0.98026148,1092.7673484,0.109276735,0.6805323325817831,,,-0.003121109999999927,2.863225009999951,0.0010900680135194516,1071.1977382382595
5,0.98004366,1093.02022273,0.109302022,0.6800847463132451,,,-0.0002178200000000352,0.25287432999994053,0.0008613764755746854,1071.2075395383242
6,0.9712802,1101.1749224,0.110117492,0.6796917760165062,,,-0.008763459999999945,8.154699670000127,0.0010746514713674497,1069.5493988636565
7,0.96372688,1108.33788558,0.110833789,0.6793886582468629,,,-0.0075533200000000855,7.162963179999906,0.001054496555285335,1068.1350124558103
8,0.95500467,1116.76813848,0.111676814,0.6790000326368881,,,-0.008722209999999953,8.430252900000141,0.0010346320688629845,1066.5187875556067
9,0.94742261,1124.23817586,0.112423818,0.678053268280405,,,-0.007582059999999946,7.470037379999894,0.001014996259494629,1065.1286668349203
10,0.93637625,1135.36420339,0.11353642,0.6778123824993282,,,-0.011046360000000033,11.126027530000101,0.0009928395349752556,1063.1280751545655
11,0.93140768,1140.46491241,0.114046491,0.6768362124171213,,,-0.004968570000000061,5.10070901999984,0.0009740939895893381,1062.2377781892012
12,0.92736167,1144.66362135,0.114466362,0.6767024824664343,,,-0.004046009999999933,4.198708940000188,0.0009636319299227539,1061.5171674833837
13,0.92621258,1146.1393226,0.114613932,0.6761491084275948,,,-0.0011490900000000748,1.4757012499999291,0.000778673867235293,1061.5686590247983
14,0.91984397,1152.85023298,0.115285023,0.6753405503356179,,,-0.006368609999999997,6.710910380000087,0.0009489934507292469,1060.4423351197481
15,0.91157398,1163.70539953,0.11637054,0.6749565329877296,,,-0.00826998999999995,10.855166549999922,0.0007618482831328056,1060.8035625970522
16,0.90717137,1168.50097498,0.116850097,0.67477317430379,,,-0.0044026099999999735,4.7955754499998875,0.0009180566638946364,1060.0306303189423
17,0.90702412,1168.66226834,0.116866227,0.6744516401462568,,,-0.00014725000000004318,0.16129336000017247,0.0009129328019885811,1060.0048655182925
18,0.89685397,1179.9440555,0.117994406,0.6739216895681766,,,-0.010170149999999989,11.281787160000022,0.0009014662176181759,1058.2375105530755
19,0.89325196,1184.8725286,0.118487253,0.6729279614901389,,,-0.0036020100000000443,4.928473099999792,0.0007308571896779429,1058.3897085221058
20,0.89192133,1186.70236255,0.118670236,0.6726068101015374,,,-0.0013306299999999993,1.829833950000193,0.0007271862013887504,1058.4451495197382
21,0.88466531,1195.02750999,0.119502751,0.6718779431370613,,,-0.007256019999999919,8.32514743999991,0.0008715785577880911,1057.1993825838315
22,0.88340852,1196.48483468,0.119648483,0.671210428714885,,,-0.0012567900000000076,1.4573246899999504,0.0008623953246394632,1056.9848970071034
23,0.87927384,1201.31167175,0.120131167,0.6707268067637566,,,-0.004134680000000057,4.8268370700000105,0.0008566023545401017,1056.281926656442
24,0.86679172,1216.19138451,0.121619138,0.6701244981077774,,,-0.01248211999999993,14.879712760000075,0.0008388683437973166,1054.1846220286043
25,0.85599215,1229.45075494,0.122945075,0.6695682750494705,,,-0.010799570000000092,13.25937042999999,0.0008144858804722008,1052.4001950402137
26,0.84848466,1238.88653459,0.123888653,0.6688346686376103,,,-0.00750748999999995,9.435779650000086,0.0007956406653905108,1051.1762200801745
27,0.84673534,1241.53133186,0.124153133,0.6679690752022589,,,-0.0017493200000000542,2.644797269999799,0.0006614193152652369,1051.2484544031297
28,0.84569939,1242.85370962,0.124285371,0.6668301198827286,,,-0.0010359499999998967,1.3223777600001085,0.0007833994419388996,1051.0806240848713
29,0.84486625,1243.91978296,0.124391978,0.6664126615949522,,,-0.00083314000000001,1.0660733400000026,0.0007815034556801734,1050.9458423302292
30,0.83582196,1257.81283083,0.125781283,0.666394338791745,,,-0.009044290000000066,13.893047869999918,0.0006509939420045434,1051.307585577479
31,0.82682517,1269.75170364,0.12697517,0.6659830754865923,,,-0.008996789999999977,11.93887281000002,0.0007535711404606537,1049.8626682199326
32,0.82027982,1278.61691703,0.127861692,0.6650914615899092,,,-0.006545350000000005,8.865213390000008,0.000738318381218535,1048.8236545503232
33,0.81641639,1283.922285,0.128392228,0.6643800029615632,,,-0.003863430000000001,5.305367970000134,0.0007282115059912973,1048.2151969602512
34,0.80597449,1298.53814564,0.129853815,0.6633851750242173,,,-0.010441900000000004,14.615860639999937,0.0007144225206081074,1046.5886196777446
35,0.80465255,1300.73515865,0.130073516,0.6623043943847307,,,-0.001321939999999966,2.197013009999864,0.0006016987579870311,1046.639862282377
36,0.79761466,1312.54551382,0.131254551,0.6616226506241121,,,-0.007037889999999991,11.810355170000093,0.000595908412414326,1046.9055437400646
37,0.79212818,1320.57084815,0.132057085,0.6608917331669033,,,-0.005486480000000071,8.025334330000078,0.0006836450387876081,1046.061382506116
38,0.78861079,1326.62363213,0.132662363,0.6608317556033897,,,-0.0035173899999999536,6.052783979999958,0.000581119367722563,1046.1897105667088
39,0.7833286,1334.54057659,0.133454058,0.6595039678502292,,,-0.005282189999999964,7.916944459999968,0.0006672005880577802,1045.3838015034376
