cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_pred,eps_pred,dphi,deps,entropy_flux,closure_energy,phase_shift,harmonic_ratio,resonance_intensity,harmonic_energy
1,0.99146569,1082.58365205,0.108258365,0.6815886036902361,,,,,,1073.344547562473,,,,
2,0.98850668,1085.24775626,0.108524776,0.6813563980700283,,,-0.002959009999999984,2.664104210000005,0.0011106960410115,1072.774656518022,-0.0011106955846936991,0.9999987663558255,0.9988899210093434,1072.7733330958165
3,0.98338259,1089.90412339,0.108990412,0.6811330905507567,,,-0.005124090000000026,4.656367130000035,0.0011004480222115,1071.7927397109377,-0.001100447578239246,0.9999987890156163,0.9989001576921538,1071.7914417866673
4,0.98026148,1092.7673484,0.109276735,0.6805323325817831,,,-0.003121109999999927,2.863225009999951,0.0010900680135194,1071.1977382382595,-0.0010900675821433272,0.999998811753137,0.998910526325704,1071.1964653909074
5,0.98004366,1093.02022273,0.109302022,0.6800847463132451,,,-0.0002178200000000352,0.25287432999994053,0.0008613764755746,1071.2075395383242,-0.0008613762659427816,0.9999992580311121,0.9991389946120969,1071.2067447356574
6,0.9712802,1101.1749224,0.110117492,0.6796917760165062,,,-0.008763459999999945,8.154699670000127,0.0010746514713674,1069.5493988636565,-0.001074651057803199,0.9999988451255485,0.9989259261728525,1069.5481636683812
7,0.96372688,1108.33788558,0.110833789,0.6793886582468629,,,-0.0075533200000000855,7.162963179999906,0.0010544965552853,1068.1350124558105,-0.0010544961645790982,0.9999988880382511,0.9989460596211264,1068.133824730534
8,0.95500467,1116.76813848,0.111676814,0.6790000326368881,,,-0.008722209999999953,8.430252900000141,0.0010346320688629,1066.5187875556069,-0.0010346316998073217,0.9999989295376277,0.9989659033470284,1066.5176458873755
9,0.94742261,1124.23817586,0.112423818,0.678053268280405,,,-0.007582059999999946,7.470037379999894,0.0010149962594946,1065.1286668349203,-0.001014995911075115,0.9999989697836542,0.9989855190230412,1065.1275695219574
10,0.93637625,1135.36420339,0.11353642,0.6778123824993282,,,-0.011046360000000033,11.126027530000101,0.0009928395349752,1063.1280751545655,-0.000992839208840666,0.9999990142706292,0.9990076534929353,1063.127027197997
11,0.93140768,1140.46491241,0.114046491,0.6768362124171213,,,-0.004968570000000061,5.10070901999984,0.0009740939895893,1062.2377781892012,-0.0009740936816878366,0.9999990511417994,0.9990263805935539,1062.2367702761744
12,0.92736167,1144.66362135,0.114466362,0.6767024824664343,,,-0.004046009999999933,4.198708940000188,0.0009636319299227,1061.5171674833837,-0.0009636316318805607,0.9999990714143654,0.9990368325119805,1061.516181773791
13,0.92621258,1146.1393226,0.114613932,0.6761491084275948,,,-0.0011490900000000748,1.4757012499999291,0.0007786738672352,1061.5686590247983,-0.0007786737103844619,0.9999993936673752,0.9992216293773153,1061.568015361087
14,0.91984397,1152.85023298,0.115285023,0.6753405503356179,,,-0.006368609999999997,6.710910380000087,0.0009489934507292,1060.442335119748,-0.000948993165986593,0.9999990994122412,0.9990514569856198,1060.441380098362
15,0.91157398,1163.70539953,0.11637054,0.6749565329877296,,,-0.00826998999999995,10.855166549999922,0.0007618482831328,1060.8035625970522,-0.0007618481358075399,0.9999994195875302,0.9992384419967998,1060.8029468934365
16,0.90717137,1168.50097498,0.116850097,0.67477317430379,,,-0.0044026099999999735,4.7955754499998875,0.0009180566638946,1060.0306303189425,-0.0009180564061649061,0.9999991571726718,0.9990823648786866,1060.0297368961585
17,0.90702412,1168.66226834,0.116866227,0.6744516401462568,,,-0.00014725000000004318,0.16129336000017247,0.0009129328019885,1060.0048655182925,-0.0009129325540219577,0.9999991665543833,0.9990874840421178,1060.0039820618836
18,0.89685397,1179.9440555,0.117994406,0.6739216895681766,,,-0.010170149999999989,11.281787160000022,0.0009014662176181,1058.2375105530757,-0.0009014659735086274,0.9999991873593187,0.9990989402248749,1058.2366505862242
19,0.89325196,1184.8725286,0.118487253,0.6729279614901389,,,-0.0036020100000000443,4.928473099999792,0.0007308571896779,1058.3897085221058,-0.0007308570596966111,0.9999994658480533,0.9992694099512713,1058.3891431811826
20,0.89192133,1186.70236255,0.118670236,0.6726068101015374,,,-0.0013306299999999993,1.829833950000193,0.0007271862013887,1058.4451495197382,-0.0007271860736075642,0.9999994712005076,0.9992730782621077,1058.4445898144804
21,0.88466531,1195.02750999,0.119502751,0.6718779431370613,,,-0.007256019999999919,8.32514743999991,0.000871578557788,1057.1993825838315,-0.0008715783371949043,0.9999992403513945,0.9991288013768792,1057.198579483795
22,0.88340852,1196.48483468,0.119648483,0.671210428714885,,,-0.0012567900000000076,1.4573246899999504,0.0008623953246394,1056.9848970071034,-0.0008623951114361366,0.9999992562748563,0.9991379766443536,1056.984110900859
23,0.87927384,1201.31167175,0.120131167,0.6707268067637566,,,-0.004134680000000057,4.8268370700000105,0.0008566023545401,1056.281926656442,-0.0008566021452019776,0.9999992662329442,0.9991437646336803,1056.2811515915625
24,0.86679172,1216.19138451,0.121619138,0.6701244981077774,,,-0.01248211999999993,14.879712760000075,0.0008388683437973,1054.1846220286045,-0.0008388681470831976,0.9999992963003969,0.9991614836044364,1054.1838801993044
25,0.85599215,1229.45075494,0.122945075,0.6695682750494705,,,-0.010799570000000092,13.25937042999999,0.0008144858804722,1052.4001950402137,-0.0008144857004271837,0.9999993366131904,0.9991858459030161,1052.399496891806
26,0.84848466,1238.88653459,0.123888653,0.6688346686376103,,,-0.00750748999999995,9.435779650000086,0.0007956406653905,1051.1762200801743,-0.0007956404975830282,0.9999993669563321,0.9992046759403885,1051.1755546397244
27,0.84673534,1241.53133186,0.124153133,0.6679690752022589,,,-0.0017493200000000542,2.644797269999799,0.0006614193152652,1051.2484544031297,-0.0006614192190637611,0.9999995625246804,0.9993387994704102,1051.247994507876
28,0.84569939,1242.85370962,0.124285371,0.6668301198827286,,,-0.0010359499999998967,1.3223777600001085,0.0007833994419388,1051.0806240848713,-0.0007833992822701282,0.99999938628569,0.9992169074948327,1051.0799790216513
29,0.84486625,1243.91978296,0.124391978,0.6664126615949522,,,-0.00083314000000001,1.0660733400000026,0.0007815034556801,1050.9458423302292,-0.0007815032973128319,0.9999993892527206,0.9992188019968544,1050.9452004679151
30,0.83582196,1257.81283083,0.125781283,0.666394338791745,,,-0.009044290000000066,13.893047869999918,0.0006509939420045,1051.307585577479,-0.0006509938500891746,0.999999576207067,0.9993492180004336,1051.3071400407537
31,0.82682517,1269.75170364,0.12697517,0.6659830754865923,,,-0.008996789999999977,11.93887281000002,0.0007535711404606,1049.8626682199326,-0.0007535709978804749,0.9999994321308587,0.9992467128654358,1049.8620720353208
32,0.82027982,1278.61691703,0.127861692,0.6650914615899092,,,-0.006545350000000005,8.865213390000008,0.0007383183812185,1048.8236545503232,-0.0007383182471459583,0.9999994548862651,0.9992619542427056,1048.8230828221435
33,0.81641639,1283.922285,0.128392228,0.6643800029615632,,,-0.003863430000000001,5.305367970000134,0.0007282115059912,1048.2151969602512,-0.0007282113774070196,0.9999994697082836,0.9992720537041491,1048.2146411004153
34,0.80597449,1298.53814564,0.129853815,0.6633851750242173,,,-0.010441900000000004,14.615860639999937,0.0007144225206081,1046.5886196777446,-0.0007144223991100497,0.9999994896007226,0.9992858327398095,1046.5880854996694
35,0.80465255,1300.73515865,0.130073516,0.6623043943847307,,,-0.001321939999999966,2.197013009999864,0.000601698757987,1046.639862282377,-0.0006016986856476321,0.9999996379587354,0.9993984822987053,1046.6394833555576
36,0.79761466,1312.54551382,0.131254551,0.6616226506241121,,,-0.007037889999999991,11.810355170000093,0.0005959084124143,1046.9055437400646,-0.0005959083419277471,0.99999964489329,0.999404269176185,1046.905171976881
37,0.79212818,1320.57084815,0.132057085,0.6608917331669033,,,-0.005486480000000071,8.025334330000078,0.0006836450387876,1046.061382506116,-0.0006836449323676404,0.9999995326296793,0.9993165886995856,1046.060893608072
38,0.78861079,1326.62363213,0.132662363,0.6608317556033897,,,-0.0035173899999999536,6.052783979999958,0.0005811193677225,1046.1897105667088,-0.000581119302403969,0.9999996623003945,0.9994190495147153,1046.1893572688562
39,0.7833286,1334.54057659,0.133454058,0.6595039678502292,,,-0.005282189999999964,7.916944459999968,0.0006672005880577,1045.3838015034376,-0.0006672004891391611,0.9999995548435734,0.999333022039614,1045.38333614412
40,0.77570755,1347.99728348,0.134799728,0.6594711674431776,,,-0.007621050000000018,13.456706890000078,0.0005663384111529,1045.6516701749265,-0.000566338350646078,0.9999996792609069,0.9994338219886474,1045.6513347935581
41,0.76769806,1360.48596473,0.136048596,0.659371545963656,,,-0.008009490000000064,12.4886812499999,0.0006413399332582,1044.4424357804494,-0.0006413398453783239,0.9999995886832592,0.9993588657690617,1044.4420061837907
42,0.75713773,1377.38693047,0.137738693,0.6588261734541748,,,-0.010560330000000007,16.900965739999947,0.0006248358917373,1042.8716138677237,-0.0006248358104582134,0.9999996095802607,0.9993753593587851,1042.87120671006
43,0.74490559,1397.6074196,0.139760742,0.658069891158234,,,-0.012232139999999947,20.220489130000033,0.0006049378885324,1041.0855794855156,-0.0006049378147700455,0.999999634050285,0.9993952451232193,1041.0851985005445
44,0.74478438,1397.84044361,0.139784044,0.6569666714114932,,,-0.00012120999999998272,0.23302401000000827,0.0005201609889033,1041.0897281329987,-0.0005201609442226706,0.9999997294326165,0.9994799743160279,1041.089446448075
45,0.74290776,1401.45726841,0.140145727,0.6552706396258023,,,-0.0018766199999999955,3.6168248000001313,0.0005188584195399,1041.153480010192,-0.0005188583731221352,0.9999997307860128,0.9994812762106059,1041.1531997171123
46,0.74254103,1402.07806074,0.140207806,0.6545595830052046,,,-0.0003667299999999818,0.6207923299998583,0.0005907450554508,1041.100487362282,-0.0005907449876831274,0.9999996510204001,0.9994094294677826,1041.1001240394503
47,0.73287494,1418.6804872,0.141868049,0.653178673568133,,,-0.009666090000000072,16.60242646000006,0.0005822094753863,1039.7153769358708,-0.0005822094096380417,0.9999996610322416,0.9994179600413734,1039.7150245058801
48,0.73086312,1422.19504756,0.142219505,0.6518931775524027,,,-0.0020118199999999975,3.514560359999905,0.0005724243698656,1039.42990970825,-0.000572424307506455,0.9999996723304481,0.9994277394960309,1039.4295691187174
49,0.72992197,1423.84631741,0.142384632,0.6509772503933844,,,-0.0009411499999999462,1.6512698500000624,0.0005699552979968,1039.2967089811525,-0.0005699552366255411,0.9999996751510634,0.9994302071570065,1039.2963713667218
50,0.72521478,1432.17384039,0.143217384,0.6504966995472348,,,-0.004707190000000083,8.327522979999912,0.0005652569210244,1038.6336365801887,-0.0005652568608895452,0.9999996804847153,0.9994349028666727,1038.6333047208666
51,0.71899401,1444.85066014,0.144485066,0.6491001236610783,,,-0.006220769999999987,12.67681975000005,0.0004907200798141,1038.8389699852055,-0.0004907200404633594,0.9999997591938613,0.9995094003429233,1038.8387198264045
52,0.71611957,1450.77826544,0.145077827,0.649092853805138,,,-0.0028744399999999226,5.927605300000096,0.0004849243250921,1038.9307076122388,-0.0004849242871636857,0.9999997648484541,0.9995151932696157,1038.930463306077
53,0.70906782,1463.81952977,0.146381953,0.6485494692357088,,,-0.007051750000000023,13.041264329999876,0.0005407259465815,1037.947322847439,-0.0005407258939230443,0.9999997076155361,0.9994594202719768,1037.9470193677676
54,0.70387321,1473.60426711,0.147360427,0.6472019374409208,,,-0.005194609999999988,9.784737339999992,0.0005308890590484,1037.2305657604131,-0.0005308890092269203,0.9999997181568864,0.9994692518874085,1037.230273424121
55,0.69654305,1487.67567571,0.148767568,0.6462767717694797,,,-0.0073301599999999745,14.07140860000004,0.0005209258154495,1036.2301525698545,-0.0005209257683664734,0.9999997286363684,0.9994792098899046,1036.229871374677
56,0.68555908,1509.35964066,0.150935964,0.6441911170418857,,,-0.010983970000000065,21.683964950000018,0.0005065480425199,1034.75520664,-0.0005065479992180988,0.9999997434091463,0.9994935802745598,1034.7549411312782
57,0.68324524,1514.02182184,0.151402182,0.6431819732545832,,,-0.0023138400000000114,4.662181180000061,0.0004962998884362,1034.448203028308,-0.0004962998477942617,0.9999997536864814,0.9995038232886035,1034.4479482297313
58,0.68284976,1514.9169279,0.151491693,0.6413886259939121,,,-0.0003954800000000036,0.8951060599999892,0.0004418247370129,1034.4606606364523,-0.000441824708757135,0.9999998047909395,0.9995582728814064,1034.4604587003587
59,0.67386067,1535.53095025,0.153553095,0.6409294102870774,,,-0.008989089999999922,20.614022349999914,0.000436066763048,1034.7339149412016,-0.0004360667354291913,0.9999998098458142,0.9995640283278512,1034.7337181822165
60,0.66963547,1544.38743208,0.154438743,0.6407684312572304,,,-0.00422520000000004,8.85648183000012,0.0004770743146799,1034.176603942984,-0.0004770742785398256,0.99999977240015,0.9995230395032989,1034.1763685645442
61,0.6606047,1565.88588981,0.156588589,0.6395293207757348,,,-0.009030769999999966,21.498457729999927,0.0004200659467296,1034.4315784721682,-0.00042006592204156263,0.9999998235446315,0.9995800222932953,1034.4313959411627
62,0.65939737,1568.51266335,0.156851266,0.6384543045860214,,,-0.001207330000000062,2.626773539999931,0.0004596246997144,1034.2731250246852,-0.0004596246675234868,0.9999997887451799,0.9995404809437128,1034.2729065295023
63,0.65152315,1585.89639845,0.15858964,0.6369563277168032,,,-0.007874219999999932,17.383735100000195,0.0004529647946342,1033.2482170917992,-0.0004529647636809281,0.999999794822937,0.9995471378093698,1033.2480050929646
64,0.64021152,1611.65789333,0.161165789,0.6351800254108428,,,-0.011311630000000017,25.761494879999873,0.0004390905905209,1031.8019496087973,-0.0004390905623190039,0.9999998071994904,0.999561005823834,1031.8017506768556
65,0.6397295,1612.89264576,0.161289265,0.6350335249232136,,,-0.00048202000000008294,1.2347524300000714,0.0003903778505701,1031.815005825722,-0.00039037783105578996,0.9999998476051568,0.9996096983564554,1031.814848582436
66,0.62777279,1644.09979296,0.164409979,0.6328433297109988,,,-0.011956709999999982,31.20714720000001,0.0003831401160442,1032.1211140649216,-0.00038314009730863535,0.999999853203673,0.9996169332914854,1032.1209625533331
67,0.62315793,1655.34262398,0.165534262,0.6306630359812686,,,-0.004614859999999998,11.24283102000004,0.0004104713475974,1031.5398830001452,-0.0004104713245809437,0.9999998315133012,0.9995896129072479,1031.5397091993957
68,0.61770618,1668.85143295,0.166885143,0.6302678392136148,,,-0.0054517499999999774,13.50880896999979,0.0004035699973035,1030.8598436350703,-0.00040356997542373776,0.9999998371312837,0.9995965114479851,1030.8596757402509
69,0.61370679,1679.88134362,0.167988134,0.63019879681829,,,-0.003999390000000047,11.029910670000163,0.0003625949583177,1030.9545869739172,-0.0003625949424599099,0.9999998685249135,0.9996374707871416,1030.9544514290737
